corporate_name_S2,revenue,profit,main_customers
"Kim, Gonzales and Mills",4666964.3,1588784.3958718064,"Hale, Myers and Larson"
Collins Group.,3062272.05,1205360.9037973136,"White Ltd,Lamb, Martin and Kim,Diaz-Ball"
Bishop-Goodwin,4695260.72,-154260.17477189697,"Taylor, Wright and Davidson"
SPENCER-GARCIA,1061041.98,75800.99173156447,"Lowery-Kennedy,Blake Group,Gilbert-Bullock"
Scott and Sons,470569.35,52603.95298553027,"Reid LLC,Burgess-Kelly"
COOPER LTD,4899191.79,-94108.63321350112,"Baldwin Group,Carter Inc"
BLACKWELL LLC,4725804.19,1160231.2976588723,Morgan-Lopez
"BOLTON, HILL AND WHITNEY",1548209.17,541084.7752657648,Hines-Berry
"Richardson, Edwards and Ramirez.",3902780.05,1335013.6321678516,"Mitchell, Hendricks and Henry,Taylor Inc"
Shaw-Oneill.,3914108.62,414334.1650834659,"Bryan Inc,Williams Ltd,Baker, Clark and Armstrong"
"Fowler, Jimenez and Burton.",4362112.25,1436428.844713933,Wright-Davis
Dougherty-Lin,1122388.5,258167.97696772977,"Jordan LLC,Diaz, Powell and Williams"
VELAZQUEZ-FLORES,4905936.94,824726.5908882598,"Hampton, James and Underwood"
Johnson Ltd.,200903.41,39836.2587175087,"Becker, Lara and Baker,Lee-Wright"
"Evans, David and Hendrix.",4498528.62,-22315.458423447522,"Scott, Mendoza and Harris"
"Nelson, Hoffman and Nelson",1827465.14,-118809.16372686201,"Santos-Avila,Morris-Brewer,Pearson and Sons"
"Rodgers, Jefferson and Johnson.",2540541.3,593080.3527787728,"Higgins-Smith,Gibbs-Bradley"
THOMPSON LTD,3327997.88,298097.5512379157,"Green LLC,Young, Contreras and Marshall,Sullivan PLC"
"CARRILLO, VAUGHN AND FOWLER",4170288.59,216594.2578603223,"Rodriguez, Poole and Leach"
ARMSTRONG AND SONS,2214512.22,526641.1600321329,"Cannon Ltd,Stuart, Brooks and Vance,Kane-Knox"
MILLER-BRANDT,3322630.64,696524.3990240525,Hill Ltd
JOHNSON LTD,131882.68,2956.977445535473,"Young-Walter,Boyd, Gutierrez and Hill"
"Fry, Hobbs and Buck",3594546.12,330659.54306508036,"Shaffer Inc,Gutierrez, Butler and Moreno"
SANCHEZ-HARRIS,3757312.74,1070920.9033588136,"Key, Mendoza and Sanchez"
"Padilla, Sanders and Allen.",260589.74,6410.2834525196495,"Butler, Hernandez and Rivera"
Wagner LLC.,3067135.09,796341.69397641,"Frey, Santos and Johnson,Gray-Tran,Walsh Ltd"
MILLER GROUP,4308859.6,538757.7370915047,"Rivera, Campos and Taylor"
"RAMSEY, MASON AND MCCANN",2204964.24,566174.0288465462,Smith LLC
Ward-Nelson,762644.98,69795.47346779601,"James, Taylor and Turner"
THOMAS-JACKSON,2334962.27,-160802.1845362943,"Mccann, Taylor and Flores,Harris, Edwards and Oconnell"
"MENDOZA, MORALES AND HUNTER",1765276.43,488518.29642931814,"Ford-Frazier,Mason, Cooper and Johnson"
"LOPEZ, DAVIDSON AND REYNOLDS",154833.85,10538.730674781895,"Mccarthy, Evans and Mendez,Powers LLC,Allen Inc"
"Wagner, Simpson and Cohen",428897.84,49025.761552030555,"Baker-Atkins,Gonzales Inc"
CLARK LTD,2278949.63,156678.41157887233,"Duke, Shelton and Davis,Sellers-Riddle"
"MARTINEZ, CLINE AND WRIGHT",106722.6,18111.841641908697,"Donaldson and Sons,Adams-Clayton"
MCNEIL GROUP,2373069.69,-101579.9052910581,"Parks, Heath and Miller"
Peck-Anderson,3891181.51,-70496.90475361234,"Collins Group,Ashley, Allen and Sanchez"
WILSON-SALAZAR,3389962.96,1285088.9193980298,"Craig, Wilson and Yang,Williams Inc"
Williams LLC,518487.51,148412.09428047828,"Walker PLC,Finley Inc,Cline-Ayala"
HALL LLC,1859148.67,284413.2976001445,"Gutierrez, Huang and Ellis,Miller, Davis and Anderson"
Johnson Inc.,3083402.65,1109435.4951403912,"Sanchez, Phillips and Jenkins,Mendoza, Miller and Reyes"
ADAMS LTD,4673763.17,184445.9720741746,"Davis and Sons,Robinson, Fox and Smith"
"Harris, Anderson and Love.",153212.99,49867.21520020621,"Steele, Mcfarland and Buchanan"
WADE AND SONS,1405495.86,278397.1117871621,"Daniel, Rogers and Smith,Wright Inc"
SCOTT-RODRIGUEZ,1214366.69,125339.71923952289,"Jones and Sons,Martin-Jones,Morgan PLC"
BUSH-REYNOLDS,3966735.01,-212114.50927849047,Anthony-Parker
Ruiz-Jacobson.,2771830.05,199235.53250206914,"Barnes, Nichols and Camacho,Armstrong-Young,Miller-Orr"
"JOHNSON, DUNCAN AND BLACK",1540048.73,23515.035859227195,"Ellis, Marks and Buchanan,Matthews, Harrington and Rodriguez,Hernandez PLC"
"Chang, Ayers and Buckley",965789.46,260089.34873294825,"Morgan LLC,Ramirez-Vasquez"
"Cohen, Compton and Perez",1488269.85,119717.2223253985,"Sanders, Leblanc and Maldonado,Watson PLC"
THOMPSON-HARRELL,282084.84,12995.175318403562,"Meyer, Hanson and Silva"
DOUGLAS-FARLEY,929974.72,-69107.94791134151,"Howard, Evans and Jackson,Walter, White and Davis"
FIGUEROA LTD,3150934.08,-230634.07840720273,"Silva, Blackburn and Jones"
MASON LTD,2794784.44,302079.8956849064,"Anderson Group,Jordan, Patterson and Woods,Johnson and Sons"
"Fitzpatrick, Rivera and Smith",4738475.1,18451.398913021465,"Adams, Quinn and Watson"
WHITE-MORALES,384573.7,-37942.86372921731,"Anderson Ltd,Jarvis and Sons"
PERRY PLC,3537709.59,889711.9539594125,"Combs PLC,Brown, Schneider and Moore"
"Dunn, Petersen and Conner",4542973.11,1423384.254089169,Castro-Harvey
"MOON, FARMER AND HILL",2018517.51,72915.10294626853,"Evans, Miles and Valencia,Doyle, Spencer and Robinson,Weber LLC"
"REED, CHAMBERS AND ZAVALA",2165823.03,132463.45115173538,"Vaughn LLC,Molina Inc"
Cervantes-Garcia,4997866.36,1180200.121318332,"Melton, Dalton and Ramos,Pruitt Ltd"
RIVERA LTD,1398001.3,557065.4049924206,"Hartman and Sons,Daniels-Powell"
WALKER-LEWIS,1612080.7,-76896.34242111581,"Campbell, Pruitt and Short"
ROBERTSON-HICKS,4726515.76,1450014.7664948674,"Andrews and Sons,Russell-Hayes,Hamilton-Smith"
"WILSON, SMITH AND CORTEZ",588448.79,168457.56714756723,"Wong, Bernard and Smith,Thomas, Williams and Armstrong,Medina-Arroyo"
CLARK-FIGUEROA,2597012.57,548792.7398272114,"Stewart Group,Jensen-Torres"
"Hernandez, Knight and Aguirre.",2196199.31,547128.1850827973,Frazier LLC
Sanders PLC,1131256.29,362797.1058855044,Hughes-Hardin
WILLIAMS LTD,4663938.77,214218.3461888175,"Eaton-Smith,Gonzales and Sons,Robertson LLC"
JOHNS LTD,961145.75,191930.04080579284,"Barnes, Hernandez and Davis,Valenzuela-Greene,Gordon, Wilson and Olson"
Winters PLC.,1705977.46,501316.32354178,"Scott-Smith,Clarke, Lane and Wilson"
BOWMAN GROUP,1668875.38,469682.1768773302,"Gallegos, Herman and Bailey,Perez-Mccarty"
"Kramer, Robinson and Haynes.",227800.02,62041.92221032733,"Lowe Ltd,Austin-Duran,Rubio, Charles and Watson"
BARRON-NORMAN,3614994.7,379535.79874821135,"Shepard-Haynes,Clark Group,Davis Group"
"Brown, Wise and Warren.",3120064.41,308080.34521225234,"Roberson, Johnson and Alvarado"
LIN-MCDONALD,3596399.95,1005916.3195600074,"Cannon LLC,Hall, Smith and Brooks,Khan-Kim"
Martin Ltd.,4987155.36,1363404.4082723893,"Snyder LLC,Collins-Lloyd"
Ford-Moody,239494.93,71386.66872949067,"Rojas Inc,Murray Inc"
"WADE, CLARK AND PRICE",2066138.23,497733.08324003423,Smith-Bauer
"Wilson, Mccormick and Smith",2493359.59,477674.2530940896,Quinn-Smith
Howard-Taylor.,4507035.02,1076304.493889484,"Richardson, Smith and Little"
"BURNS, HANSON AND GARZA",1257990.14,405892.9875663436,"Davis, Hardy and Schmidt"
LEE LTD,1801206.2,86342.97183274527,"Gardner, Brooks and Pierce,King, Nixon and West,Smith-Johnson"
Kelly-Taylor,4553978.6,1241351.1616210004,"Bailey-Montoya,Conrad-Martinez"
Duncan-Williams,3144958.04,1106087.5672450305,"Rodriguez Group,Diaz-Lee,Wheeler-Johnson"
PAYNE LLC,4549042.78,288225.36195861566,"Miller, Gonzalez and Rasmussen,House, Smith and Wright"
"Torres, Burns and Garner.",2658953.34,948564.2869223014,Butler PLC
Joseph-Brooks.,4836676.04,1462097.2859571506,"Patterson Inc,Moss, James and Edwards"
"Crosby, Armstrong and Herrera.",1849242.44,507627.778656316,"Gallegos-Hayes,Mason, White and Richards"
"WILLIAMS, PARKER AND CROSS",3101538.87,1152483.9812338685,"Ellis Group,Aguirre, Franklin and Snyder"
Chapman Group.,4547844.32,232372.50239632966,"Martin LLC,Guerrero, Graves and Armstrong"
"THOMPSON, GIBSON AND RILEY",4979677.6,-208846.48161597026,Murphy-Gutierrez
DOMINGUEZ PLC,4747410.03,1178506.5408174673,"Johnson Ltd,Mclaughlin and Sons,Duarte, Gutierrez and Cook"
"Stewart, Herrera and Clark.",4695874.8,187224.85718866228,"Johnson, Webb and Porter,Peterson Group,Russo, Collins and Murphy"
Short PLC.,505779.58,122823.5803447065,"Patel-Mejia,Wilson, Hernandez and Hill,Mullen PLC"
"GARCIA, DANIELS AND DUNN",619577.0,200753.22940438104,"Bush PLC,Huff, Lyons and Jensen"
Cook-Gonzalez,262386.77,17515.518160876298,Chavez-Johnson
Rodriguez-Mendoza,2936051.59,899977.5899873626,Peterson Ltd
Davis and Sons,2705675.13,809691.983680535,Carr PLC
Abbott-Phelps,2948376.08,-271573.3234296064,"Larsen-Moore,Martinez, Smith and Wong"
Patton-Young,3638942.56,1289553.340797473,"Thomas-Berg,Roberts Group,Gregory-Nixon"
"Blanchard, Davis and Schmidt",4992947.91,1615963.9541264647,"King-Johnson,Davis, Mays and Douglas"
DELGADO INC,3125344.3,602198.6663875727,"Cook-Turner,Chen Ltd,Diaz LLC"
Brown-French,3967549.5,-169783.20206853695,"Carr-Conley,Meyers Inc,Crawford PLC"
Brown and Sons.,1701268.78,215634.88464034567,"Anderson Ltd,Bennett, Moore and Hobbs"
Smith and Sons.,4768426.66,1160685.2020847686,"Barnes-Grant,Wilson PLC"
Williams-Yang,2786289.97,538401.8918961124,"Jones PLC,Brown-Graham,Reilly Group"
HUGHES AND SONS,4369300.79,1619109.6607343217,"Wyatt, Miller and Vincent,Atkins-Robinson"
HOOD-RAMIREZ,2893813.41,18431.86334051763,"Anderson LLC,Holland Inc,Castillo LLC"
"Norton, French and Miller",4038034.64,1302579.4448093493,"Ramirez-Brown,Chavez-Mason,Harrison PLC"
"Bryan, Lam and Hayes.",154476.37,5659.271838415349,"Rogers, Lane and Rios,Tucker-Wade"
"Wilkinson, Wallace and Torres.",357231.25,96625.52660009853,"Mann, Wade and Spence"
WATSON PLC,1711070.95,145486.45324753245,"Mccullough-Taylor,Wilson, Johnson and Williamson,Griffin Inc"
Brown-Davidson,795475.39,166189.99536225005,"Lara-Roberts,Waller, Coleman and Mosley,Houston PLC"
THOMAS LLC,3039309.28,325485.31108602625,Evans-Davidson
"KENNEDY, VALDEZ AND STAFFORD",3394307.29,667209.2260275731,"Martin-Brown,Murray-Steele,Martin-Nelson"
Fields-Friedman,48358.56,2452.2471516651476,Watson-Washington
MCCALL-MARTIN,2491952.79,287390.6995350463,"Olsen, Walker and Vincent"
Richardson-Lawrence.,103520.27,37327.46496677352,"Bowen, Miller and Snyder,Campbell-Burke"
Mcdaniel-Randall.,1454680.88,149128.2884348391,"Porter, Hubbard and Miranda,Nelson, Clarke and Schneider"
Kelly-Estrada.,449768.11,144934.2562192081,Hernandez-Howell
WOLF LTD,4353916.84,1188194.412648756,Alvarez-Dickerson
"Brown, Baker and Garza",4530554.43,338376.38535915926,"Lozano Inc,Wilson-Jackson,Nguyen, Murray and Boyer"
"ROBERTSON, FISHER AND SMITH",875760.12,-20637.379617896102,"Pittman PLC,Mitchell Inc,Davies-Morales"
"Martin, Mcdaniel and Young.",4322591.91,923343.2534380659,Mosley-Powers
Sanders Ltd.,2961184.59,224964.48409646004,"Manning, Walls and Robinson"
THOMPSON LLC,4160166.19,-256409.7605966711,King Group
FOWLER-HAYNES,2776038.69,821454.5513196056,Holloway Ltd
HUNTER-BELL,2383388.85,-58558.580952310156,Smith Inc
"WILSON, HIGGINS AND GRAHAM",1246241.18,148152.07616495108,"Lewis, Holloway and Acosta,Barnes Group"
JOHNSON LLC,4590504.58,430168.28742935316,"Carpenter LLC,Gordon LLC"
Stafford-Stewart.,1427893.4,373917.9146679461,"Wilson-Woodard,Williams-Kelly,Hoffman, Ellis and Rodriguez"
"Camacho, Martinez and Davis",4584564.81,252682.27246259662,"Hood and Sons,Miller Ltd,Castillo, Fuller and Adams"
"Smith, Booker and Douglas.",2799021.13,620673.507580494,"Crane, James and Ross,Allen Group"
Smith and Sons.,100970.38,5496.124231728339,"Warren, Roberts and Kim"
Evans-Joyce,395053.77,127291.93222269177,Edwards-Ramsey
"Foster, Turner and Martinez",2990259.74,-68398.06301881056,Rodgers Group
"Mcconnell, Stein and Dillon.",3056871.16,844294.3108340497,"Mcdonald, Ware and Sharp,Moyer-Whitaker"
"Delgado, Ward and Kennedy.",4520831.95,-13525.930858088013,"Perez, Hoffman and Tucker,Glover-Hammond,Adams, Hernandez and Vaughn"
"MUNOZ, GARCIA AND WILLIAMS",1915543.45,313631.72646288935,"Harrell, Moore and Cox"
MARTINEZ AND SONS,3209483.39,1081783.569031349,"Keller Ltd,Orr Inc,Whitney, Lloyd and Liu"
Chapman-Stone.,4424302.57,1615914.4122488156,"Williams-Hernandez,Torres-Brooks"
TUCKER-MOODY,4972681.5,434892.5076100373,Hughes-Mccullough
RIVERS LLC,4150510.3,1029475.9490630511,Weaver LLC
White Inc,1287060.4,408617.9302738104,"Johnson-Schultz,Adams PLC,Garcia, Hines and Pearson"
Torres Group,1512744.46,-115158.0905796335,"Williams-Stevenson,Jones, Davis and Hale"
Hardy LLC.,2987727.82,-274220.6024914754,"Burns, Long and Miller,Curtis, Ryan and Stafford,Wallace, Martinez and Stanton"
CONWAY-MANN,2857611.94,-18125.958558417624,"Smith-Simmons,Hahn, Williams and Mcmillan,Richard-Russell"
Pittman-Wright,1958364.13,264511.42366016266,"Hanson, Chavez and Marshall,Hobbs-Harvey,Curtis-Lowe"
GIBSON LLC,3944714.88,285602.2747213639,"Rowe, Hernandez and Parker,Carter-Cordova,Willis, Gregory and Brown"
Aguirre-Bennett,4153614.45,1006592.2557497192,"Higgins-Morgan,Sanchez, Gonzalez and Thompson,Lozano-Smith"
"SANCHEZ, WILLIAMS AND JENSEN",3957634.97,1357054.006105999,"Roy-Foster,Coleman-Bennett"
Walls LLC.,1274035.69,352456.1887640632,Garcia Inc
Hall-Matthews.,4448537.72,1208462.4107853433,"Nguyen-Johnson,Weeks and Sons"
CARROLL-LLOYD,4622309.23,737895.8623553453,"Thompson, Serrano and Morrison"
Lopez Inc,2731917.24,165569.7952122359,Moore-Rodriguez
"Barnes, Paul and Price.",841557.41,102631.4527383648,"Fox PLC,Stevens-Johnston"
"DAVIS, LUCAS AND ELLISON",3200951.86,946646.028170704,"Martinez, Wood and Campos"
"Miranda, Nguyen and Hayes",4764419.09,-136311.29663670852,"Lawson and Sons,Martinez-Figueroa,Jones Inc"
"NELSON, ALEXANDER AND THOMPSON",3229362.75,261821.5255782615,"Johnson-Smith,Frazier Inc,Benjamin Inc"
"JACKSON, JACKSON AND PERRY",1861112.89,226999.27773107638,King Inc
"NGUYEN, MCCOY AND PRICE",3251308.08,80651.38428236086,Hall PLC
PARKER LTD,2812746.83,86881.07561970703,"Meyer Group,Hess, Christensen and Perez"
MARTINEZ AND SONS,379519.68,-5188.72399540661,"Weiss Group,Gill Group,Blake LLC"
DORSEY LLC,795951.19,202793.95299740933,"Willis-Gross,Booth, Rodriguez and Armstrong,Olsen-Adams"
CONRAD GROUP,1012892.05,-30955.56519173603,"Lamb and Sons,Bird-Savage"
SIMS-WEBER,4020272.01,706858.1629333679,"Frederick-Kennedy,Munoz-Rogers,Wu, Key and Montoya"
Ortega-Gray.,2633221.32,749368.1143174344,"Montes Ltd,Gregory-Hall,Ross-Salazar"
Jackson-Griffin,4391021.16,1273973.399446293,"Schneider Group,Paul, Hardy and Valdez,Burch, Kim and Hall"
"Walker, Foster and Medina",2595329.64,135118.756099835,"Michael, Walker and Fitzgerald"
Gates Ltd.,4231209.19,107060.82421371198,"Ellis-Martin,Ramos Group,Merritt-Clark"
"GONZALEZ, CURTIS AND COX",2672055.37,404246.0981118391,Delgado Group
"Esparza, Lambert and Davis.",4214224.72,766184.0546690888,"Freeman, Stone and Richards"
"Evans, Burch and Jackson.",3094361.05,-262578.35253268527,"Thomas and Sons,Guzman and Sons,Howard, Anderson and Dean"
PIERCE LLC,1231940.77,374109.1910381925,"Jones Inc,Rodriguez, Kelley and Jones"
"DAVIS, BLANKENSHIP AND STRICKLAND",2203631.44,313192.3635800536,"Faulkner, Schmidt and Wheeler"
Woods-Anderson.,3673656.78,1213734.6248869582,"Bruce-Walters,Blair Inc"
JOHNSTON INC,1216271.93,-47117.21358558373,"Gomez, Williams and Simpson,Brooks Inc"
SLOAN-WRIGHT,1926907.67,400196.991552274,Murphy-Gomez
Shaw-Mclean.,125649.73,46819.15030922128,"White, Riddle and Garza,Hernandez, Martinez and Morales,Mooney-Hickman"
SMITH-GONZALEZ,262196.62,38660.131710946654,"Garner, Lewis and Kennedy,Garcia, Lopez and Vaughan,Cook-Rodriguez"
"Smith, Arnold and Atkins.",678335.37,21867.12416732103,"Ferguson and Sons,Anderson Group"
"DAWSON, SNOW AND MALONE",2813466.16,228627.57190733327,"Clark-Smith,Robinson, Horton and Suarez"
"Gibson, Zimmerman and Warren.",4128303.48,873634.8409932478,"Henson, Baker and Anderson,Phillips, Galloway and Garrett,Holloway and Sons"
HUNT GROUP,210871.98,-16984.265444003187,"Mclean-Gillespie,Munoz and Sons,Moreno-Greene"
"COLEMAN, BARRY AND MCDANIEL",4466727.14,-134490.95259733358,"Guzman-Fields,Pham Ltd,Reyes PLC"
Ryan-Vasquez.,2972686.03,456775.48314511846,"Phillips and Sons,Bonilla, Durham and Sanchez,Brown and Sons"
Carson PLC.,3985806.52,1046920.3357515255,"Harper LLC,Arnold Ltd,Allen Inc"
"Cunningham, Elliott and Tyler",3609786.56,692218.5854668636,Mack and Sons
Case PLC,104497.46,5940.287870591958,"Nicholson, Smith and Farrell"
Bennett-Hudson.,4365360.37,1169561.3943826207,"Tucker, Park and Alvarez"
GIBSON-GARDNER,3314511.73,539398.9180812016,"Thomas LLC,Miller-Russo"
Lin-Wilson.,3054282.13,-11813.704983219379,"Fuentes, Martinez and Porter"
Gutierrez-Bell.,3858159.6,973994.1982525297,"Shaffer, Contreras and Christian,Walker Group,James, Gonzalez and Harrison"
Bell Group.,1446068.98,270036.610415611,"Solis PLC,Anderson-Fields,Thompson, Strong and Holmes"
Phillips PLC,1738353.94,210667.73451105866,"Jones, Mcdaniel and Brooks,Schultz-Hayes"
White Inc.,694992.04,144446.1150644391,"Herrera PLC,Hodges, Robinson and Diaz,Johnson and Sons"
Miller Ltd,3193343.42,-235523.27668284226,"Potts, Nielsen and Wright,Mcdaniel Ltd"
Hayden-Garcia,4822948.65,1875911.7087279637,Gibbs-Howard
LEWIS LLC,4819931.05,292009.9848506611,"Williams-Hill,Martinez and Sons,Murphy, Reyes and Ray"
SMITH-LOGAN,3696045.75,1201830.4480813954,Hawkins LLC
"Webb, Davis and Miranda.",4384948.41,-418176.8131539922,"Harris, Ross and Jones,Martin-Parker,Wong, Thomas and Walter"
Williams Group.,4447407.22,-146319.81759783108,"Adams, Harris and Floyd,Walsh-Mccarthy,Gross-Davis"
"VELEZ, HOWELL AND STEVENSON",820846.37,106264.5018436919,"Bradley LLC,Fox and Sons"
HOPKINS AND SONS,3058662.95,670957.1657880832,"Roberts-Montes,Ho-Thomas"
"HERNANDEZ, LEVY AND HANSON",485971.68,189938.4331007259,"Cain Ltd,Henderson-Rasmussen"
OROZCO LLC,2239210.25,75007.19181513374,"Davis-Rose,Edwards, Donovan and Marquez"
Aguirre-Golden,3342252.71,443508.56384804443,"Phelps, Turner and Collins"
Thomas Ltd.,3076980.99,29429.170721674716,Johnson Group
Elliott Inc.,2085069.62,364089.13229639723,"Hart, Stevens and Trevino,Ramirez Ltd"
Garcia and Sons.,399732.58,72785.05145483978,Shelton-Perez
"Martin, Cervantes and Stokes",1647307.01,263850.43319395167,"Evans, Wilson and Hall"
"Fernandez, Johnson and Nicholson.",4045373.5,512614.1555956676,"Strong, Warner and Cannon,Reed Inc,George-Salazar"
Clay Group.,3619167.6,354585.6111623135,"Franklin, Gray and Sutton"
TRAN INC,3504920.54,597875.4864740174,Anderson-Sanders
"MARTINEZ, JONES AND WRIGHT",3847170.59,1088417.8103759743,"Spence Ltd,Santos-Chavez,Smith Inc"
"Hill, Adams and King",3271135.15,241687.63596620364,Mccoy and Sons
"Douglas, Hall and Pena",4175759.84,1161235.832201314,"Rogers-Russell,Brooks, Dunlap and Carter"
MARTIN INC,1156023.69,150644.49810751303,"Yates, Lawson and Hopkins"
WILSON-MERRITT,177545.62,35312.48305841974,"Cannon, Hendricks and Zuniga,Hernandez Inc,Watkins, Craig and Chavez"
HILL-GONZALES,4320013.91,-310081.8827789008,"Baker-Lin,Dennis-Wilson,Lara-Garner"
Gonzalez Inc.,1192151.13,403101.06147570413,"Pittman-Golden,Washington, Robles and Myers,Daniels-Phillips"
RODRIGUEZ LLC,2788023.41,545988.5528699941,"Leonard-Jenkins,Coleman-Green,Adams Ltd"
MORGAN INC,1728630.0,383164.72498541634,"Case Inc,Fischer PLC"
MASON GROUP,1506443.59,-12142.704565230008,"Johnson, Hill and Harris,Costa-Johnston,Carter-Davis"
"RUSSELL, SMITH AND VAUGHN",2654659.15,250094.17597551135,"Forbes-Cortez,Nelson, Morris and Preston"
"Santos, Thomas and Mills.",471395.34,123643.3944084278,Wheeler-Jones
"Hansen, Perez and Fuller",4369366.09,-25859.45105375809,"Robles PLC,Miranda, Rivera and Ingram,Jacobs, Levy and Mclaughlin"
"Barnett, Kennedy and Jackson.",1522908.25,539866.5282711064,Schroeder-Mccarthy
Chandler-Lewis.,4576481.03,805642.1017004468,"Sanders-Forbes,King, Garrett and Maddox"
ROY GROUP,1315192.52,205706.98678577377,"Lucero-Lee,Mclaughlin, Cook and Powers"
"Brooks, Miller and Ramsey",3708849.37,-340806.3521950064,"Bailey-May,Gallegos-Mcdaniel,Johnson PLC"
BOOTH-SMITH,2853249.67,65239.57706602254,"Hines PLC,Fisher LLC,Morales, Johnson and Hunt"
Martin-Smith.,854635.9,222339.3113225198,"Hughes LLC,Ross LLC"
"Nicholson, Johnson and Mullen",3824050.83,406099.3272069459,"Joseph-Richard,Rodriguez-White,Schmidt-Reyes"
KELLY-SMITH,3092997.83,721835.6828253582,"Carroll, Williams and Nguyen,Thomas Ltd,Burnett, Garcia and Hunt"
"Miller, Pennington and Curry.",69136.33,11387.363569933907,"Smith-Clark,Sandoval-Hill"
George-Daugherty.,4032776.82,1431178.7889266,Clark-Wolfe
"PRICE, POWELL AND GUERRERO",2637015.37,811164.9020780557,"Gray Inc,Foster and Sons"
DUNCAN AND SONS,2829360.89,1117927.2168537884,Bradshaw and Sons
Roberts-Patel,476567.52,42715.70525202696,"Jackson Ltd,Cohen-Crane,Paul Ltd"
Arnold-Boyer,2504293.38,292889.1964753689,"Porter-Rodriguez,Massey, Wiggins and Stout"
Carey-Brown.,1362764.31,493429.2016449645,"Davis-May,Ellis Ltd,Goodwin-Sherman"
PHILLIPS-WALLACE,4644544.14,265864.6055227697,"Smith, Diaz and Romero"
Ramirez Ltd.,3388404.48,576981.6334695511,"Medina, Miller and Yates,Knight-Wright"
Robles-White,497452.08,7995.050922828914,Arnold-Davis
"Ruiz, Martin and Jones.",2458111.25,191500.62897835945,"Floyd-Phelps,Bates, Nguyen and Black"
